00000,'Понедельник',001,003,007,1,100000
00001,'Понедельник',001,005,007,2,200000
00002,'Понедельник',003,002,007,1,100000
00003,'Понедельник',004,003,007,1,100000
00004,'Вторник',005,004,002,2,400000
00005,'Среда',001,006,004,1,160000
00006,'Среда',001,004,004,1,160000
00007,'Среда',004,001,004,1,160000
00008,'Четверг',002,004,003,1,110000
00009,'Четверг',002,005,002,1,200000
00010,'Четверг',004,001,006,2,200000
00011,'Четверг',005,003,005,1,200000
00012,'Пятница',004,002,001,4,400000
00013,'Пятница',004,005,001,1,100000
00014,'Пятница',004,004,001,3,300000
00015,'Пятница',005,006,006,2,200000
00016,'Суббота',002,001,001,4,400000